DUID,Owner,Number of Units,Nameplate Capacity (MW)
ERB01,Origin Energy Electricity Limited,1.0,240
ERB01,Origin Energy Electricity Limited,1.0,460
ERB01,Origin Energy Electricity Limited,1.0,0
ERGT01,Origin Energy Eraring Pty Ltd,1.0,41.5
,unitedgreen_NR,1.0,666
,Unitedgreen_NR,1.0,4.00 - 4.20
,Balranald Wind Farm Pty Ltd,1.0,330
,Everleigh Solar Park Pty Ltd,1.0,Zero Capacity Or None Specified
,Everleigh Solar Park Pty Ltd,1.0,200
FNWF1,Ferguson Wind Farm Pty Ltd,3.0,12
FINLYSF1,Finley Solar Farm Pty Ltd as The trustee for Finley Solar Trust,99.0,162.36
FISHER,Hydro-Electric Corporation,1.0,43.2
,Private Energy Partners,1.0,1000
FLYCRKWF,Flyers Creek Wind Farm Pty Ltd,38.0,145.54
,Solquartz Holdings Pty Ltd,1.0,250
,Solquartz Holdings Pty Ltd,1.0,250
,Solquartz Holdings Pty Ltd,1.0,250
, Forbes Solar Farm Pty Ltd ATF Forbes Genesis Project Trust,1.0,3.6
, Forbes Solar Farm Pty Ltd ATF Forbes Genesis Project Trust,1.0,4.6
,X-Elio Roma Hub Solar Farm Pty Ltd,1.0,90
,Forest Wind Holdings Pty Ltd,1.0,1200
,Forsayth Wind Farm Pty Ltd,30.0,75.00 - 165.00
FTVBESS,FRV Services Australia,34.0,119
FTVPV,FRV Services Australia,23.0,80.5
,FRASER COAST SOLAR DEVELOPMENT PTY LTD,1.0,210.63
,FRASER COAST SOLAR DEVELOPMENT PTY LTD,1.0,310.8
,Frasers Lane Development Pty Ltd,1.0,77
,Fulham Solar Farm Pty Ltd (ATF Fulham Solar Farm Trust),24.0,64.08
,Fulham Solar Farm Pty Ltd (ATF Fulham Solar Farm Trust),24.0,100.8
GANGARR1,Shell New Energies Australia Pty Ltd,54.0,162
GANNB1,GESS ProjectCo,1.0,25.33
GANNSF1,Gannawarra Solar Farm Pty Ltd,22.0,55
,Edify Energy Pty Ltd,1.0,150
,Edify Energy Pty Ltd,1.0,150
,ACEnergy Pty Ltd,144.0,521.28
,Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust,135.0,360.45
,Greenpulse solar farm and BESS as trustee for Greenpulse Solar Farm & Bess Unit Trust,46.0,160.08
GBBATT1,UPPER BURDEKIN WIND FARM PTY LTD,4.0,104
GBWF1,UPPER BURDEKIN WIND FARM PTY LTD,68.0,408
,Mainstream Renewable Power Australia Pty Ltd,80.0,560
,Elgin EnergyP/L,1.0,250
,Recurrent Energy,1.0,350
, West Coast Renewables,1.0,232
, Risen Energy (Australia) Pty Ltd,1.0,150
, Risen Energy (Australia) Pty Ltd,1.0,250
GERMCRK,EDL CSM Qld Pty Ltd,4.0,13.2
GERMCRK,EDL CSM Qld Pty Ltd,16.0,31.81
,Elgin Energy Pty Ltd,37.0,125.06
,Elgin Energy Pty Ltd,32.0,125.12
,Iberdrola Australia Development Pty Limited,144.0,345.6
,EIWA Gin Gin Renewable Energy Park Pty Ltd,1.0,300
,Gippsland Dawn OWP Project Pty Ltd,140.0,2100
GIRGSF,Giragarre Solar Farm Pty Ltd as trustee for Giragarre Solar Farm Trust,57.0,93.48
GSTONE1,Gladstone Power Station Participants,1.0,280
GSTONE2,Gladstone Power Station Participants,1.0,280
GSTONE3,Gladstone Power Station Participants,1.0,280
GSTONE4,Gladstone Power Station Participants,1.0,280
GSTONE5,Gladstone Power Station Participants,1.0,280
GSTONE6,Gladstone Power Station Participants,1.0,280
,Elgin Energy Pty Ltd,1.0,52
,Elgin Energy Pty Ltd,1.0,60
,FIrm Power P/L,1.0,152
GLBWNHYD,AGL,1.0,5
,Water NSW,1.0,770
,Acenergy,1.0,250
, Glenellen Solar Farm Pty Ltd,1.0,200
GLENMAG1,Pacific Hydro Investments Pty Ltd,1.0,1.9
GLENNCRK,EDL OCI Pty Ltd,12.0,12.78
,Water NSW,1.0,642
,Akaysha Energy Pty Ltd,96.0,450.24
,Enervest Pty Ltd,1.0,400
GLENSF1,Glenrowan Solar Farm Pty Ltd as trustee for Glenrowan Solar Farm Trust,30.0,126
GLRWNSF1,Glenrowan Sun Farm Pty Ltd,48.0,132
,FRV SA Pty Ltd,100.0,290
,Altura Group,1.0,230
,Squadron Energy Developments Pty Ltd,83.0,499.66
,EIWA Gin Gin Renewable Energy Park Pty Ltd,1.0,300
,EIWA Gin Gin Renewable Energy Park Pty Ltd,1.0,300
,Tag Energy Australia P/L,1.0,150
GPWFEST1,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,40.0,248
GPWFEST3,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,40.0,248
GPWFEST2,Golden Plains WF1 Pty Ltd as trustee for the Golden Plains WF1 Unit Trust,42.0,260.4
,Golden Plains WF2 Unit Trust,93.0,557.07
GOONSF1,Goonumbla Asset Co Pty Ltd as trustee for the Goonumbla Asset Trust,31.0,69.75
,Lightsource Development Services Australia,1.0,800
,Engie,1.0,250
